,ZIPCODE,RACE: Non-White alone: Total population -- (Estimate)_DENSITY,LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Population 5 years and over -- (Estimate)_DENSITY,"LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Speak English less than ""very well"": Population 5 years and over -- (Estimate)_DENSITY",POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE: Income in the past 12 months below poverty level: Population for whom poverty status is determined -- (Estimate)_DENSITY,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Household received Food Stamps/SNAP in the past 12 months: Households -- (Estimate)_DENSITY,OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Service occupations: Healthcare support occupations: Civilian employed population 16 years and over with earnings -- (Estimate)_DENSITY,ALLOCATION OF MORTGAGE STATUS: Allocated: Owner-occupied housing units -- (Estimate)_DENSITY,geometry,RACE: Non-White alone: Total population -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Population 5 years and over -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,"LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Speak English less than ""very well"": Population 5 years and over -- (Estimate)_POP_DENS_PERCENTILE_DENSITY",POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE: Income in the past 12 months below poverty level: Population for whom poverty status is determined -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Household received Food Stamps/SNAP in the past 12 months: Households -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Service occupations: Healthcare support occupations: Civilian employed population 16 years and over with earnings -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,ALLOCATION OF MORTGAGE STATUS: Allocated: Owner-occupied housing units -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,ad_score,ad_score_scaled
54,30088,0.9020694127266063,0.03615378850333508,0.011886382372779735,0.1638174015268473,0.19363124847101035,0.7664140582726625,0.024274274274274275,,99.1825613079019,17.847411444141688,14.032697547683924,21.11716621253406,53.678474114441414,97.82016348773843,17.029972752043598,320.708446866485,0.504043126684636
55,30092,0.38510090693684124,0.13733606378807023,0.056359200034856866,0.10254731457800512,0.08264197398704705,0.11328725956748054,0.02050458282150619,,77.52043596730245,95.2316076294278,92.77929155313352,7.76566757493188,8.719346049046322,5.5858310626703,9.809264305177111,297.4114441416894,0.46563342318059303
56,30093,0.6338846969737655,0.43919434185145867,0.2705414417512747,0.2599774096385542,0.18322771440642163,0.5412845514054059,0.03699006552525893,,95.09536784741144,100.0,100.0,86.51226158038148,42.37057220708447,88.0108991825613,55.44959128065395,567.4386920980927,0.910826594788859
57,30094,0.6357684823435356,0.0714076770565866,0.04584457373159554,0.15463553268300176,0.10907969514075509,0.07337600461401507,0.019332388194354944,,95.2316076294278,81.06267029972751,90.59945504087193,18.392370572207085,13.35149863760218,4.223433242506812,7.493188010899183,310.3542234332425,0.48697214734950584
58,30096,0.5880091043901093,0.21014688486722613,0.09681175078937809,0.15171949334737825,0.13013615513433488,0.4551415177796902,0.02274851978809598,,94.141689373297,98.22888283378747,97.54768392370572,17.71117166212534,19.20980926430518,72.20708446866485,14.168937329700272,413.2152588555859,0.6565588499550764
59,30097,0.45266150517639064,0.04355801399026764,0.015482436131386862,0.05268338956355208,0.02994110395836187,0.0777146765854276,0.017857142857142856,,87.19346049046321,32.561307901907355,22.888283378746593,0.8174386920980926,1.3623978201634876,4.4959128065395095,5.858310626702997,155.17711171662123,0.23113207547169806
60,30101,0.2283480034755015,0.053464032183647536,0.01776738086950891,0.08767467562943786,0.0852662893953967,0.3802393636583341,0.026598707664884137,,14.577656675749319,57.084468664850135,31.19891008174387,5.040871934604905,9.264305177111716,50.40871934604905,23.024523160762943,190.59945504087196,0.2895327942497754
61,30102,0.21917041255418873,0.09026690270307074,0.03887791924831484,0.11171745464496707,0.09870176867055684,0.17313739331322595,0.029960893149993693,,13.35149863760218,89.50953678474114,86.37602179836512,9.536784741144414,10.490463215258856,9.536784741144414,32.9700272479564,251.7711171662125,0.3903863432165318
62,30103,0.26101299474533207,0.03990359456650722,0.017685385142654983,0.20469982956739882,0.18660228878346385,0.40305648146289713,0.03941236869125662,,24.931880108991827,23.841961852861036,29.97275204359673,39.509536784741144,45.776566757493185,58.038147138964575,61.98910081743869,284.0599455040872,0.4436208445642408
63,30104,0.2395191726088549,0.04139872467104967,0.017717898675204836,0.19147006236099604,0.1747910209448671,0.4519756739893605,0.033879604088917735,,17.302452316076295,27.111716621253407,30.79019073569482,30.245231607629428,36.37602179836512,71.7983651226158,43.32425068119891,256.9482288828338,0.39892183288409705
