TRACT,ZIP_CODE
010800,30344
011000,30344
011100,30344
011201,30344
011202,30344
011301,30344
011303,30344
011305,30344
011306,30344
012300,30344
021409,30345
021410,30345
021412,30345
021604,30345
021605,30345
021703,30345
021706,30345
021810,30345
021215,30346
021216,30346
040202,30349
040203,30349
040204,30349
040509,30349
040510,30349
040519,30349
040520,30349
010301,30349
010304,30349
010507,30349
010508,30349
010510,30349
010511,30349
010512,30349
010513,30349
010514,30349
010516,30349
010604,30349
011306,30349
021213,30350
021214,30350
010106,30350
010107,30350
010108,30350
010117,30350
010118,30350
010119,30350
010120,30350
010122,30350
010208,30350
010209,30350
010210,30350
040308,30354
007001,30354
007200,30354
007300,30354
007400,30354
010800,30354
012300,30354
980000,30354
021211,30360
021217,30360
021301,30360
021305,30360
021306,30360
050304,30360
050315,30360
000500,30363
000600,30363
970100,30401
970200,30401
970300,30401
970400,30401
970500,30401
970600,30401
950100,30410
950200,30410
950300,30410
951400,30411
950100,30411
780100,30411
780200,30411
950300,30412
960300,30413
960400,30413
960100,30413
950500,30413
110700,30415
110900,30415
110800,30417
970100,30417
970200,30417
970300,30417
950100,30417
950201,30417
950200,30420
950100,30420
950100,30421
950201,30421
950202,30421
970300,30423
110100,30425
970100,30425
970200,30425
960200,30425
950700,30426
970200,30426
970200,30427
970100,30427
950300,30427
950400,30427
951400,30428
780100,30428
780200,30428
970200,30429
950900,30434
960100,30434
960200,30434
960300,30434
970100,30436
970600,30436
950202,30436
970100,30436
970200,30436
970400,30436
970500,30436
970600,30436
950201,30438
950100,30439
950200,30439
950300,30439
970100,30439
950900,30441
970200,30441
970300,30441
960200,30441
950900,30442
960100,30442
960200,30442
950100,30445
950200,30445
950300,30445
030100,30446
970500,30446
970600,30448
970500,30449
110100,30450
950300,30451
110800,30452
950201,30453
950202,30453
950300,30453
950400,30453
951000,30454
970300,30455
970600,30455
950500,30456
950700,30456
970600,30457
951000,30457
950100,30457
960100,30457
960200,30457
110100,30458
110200,30458
110300,30458
110401,30458
110403,30458
110404,30458
110500,30458
110601,30458
110602,30458
110700,30458
110800,30458
110900,30458
110404,30460
110100,30461
110200,30461
110500,30461
110601,30461
110602,30461
110700,30461
970100,30464
970200,30467
970300,30467
970400,30467
970500,30467
970600,30467
950100,30470
960100,30470
960200,30470
110100,30471
970100,30471
970200,30471
970300,30471
970600,30471
950300,30473
970600,30473
970600,30474
950100,30474
950200,30474
950300,30474
970200,30474
970300,30474
970400,30474
970500,30474
970600,30474
960100,30474
960200,30474
970200,30475
960300,30477
960400,30477
000102,30501
000400,30501
000500,30501
000600,30501
000800,30501
000900,30501
001003,30501
001004,30501
001101,30501
001102,30501
001201,30501
001301,30501
001002,30504
001003,30504
001004,30504
001101,30504
001102,30504
001301,30504
001402,30504
001403,30504
130101,30506
130102,30506
130103,30506
130104,30506
130503,30506
000201,30506
000203,30506
000204,30506
000302,30506
000303,30506
000304,30506
000305,30506
000400,30506
000500,30506
000102,30507
000600,30507
000701,30507
000702,30507
001201,30507
001202,30507
001301,30507
001302,30507
001403,30507
970100,30510
970200,30510
000601,30510
000602,30510
000101,30510
970100,30511
000602,30511
970400,30511
050500,30512
000101,30512
000102,30512
000201,30512
000203,30512
000204,30512
000205,30512
050200,30513
050300,30513
050400,30513
050500,30513
080100,30513
080200,30513
960100,30516
960200,30516
180103,30517
050609,30517
001302,30517
001603,30517
001608,30517
010102,30517
010103,30517
050103,30518
050105,30518
050106,30518
050107,30518
050108,30518
050109,30518
050212,30518
050213,30518
001502,30518
001607,30518
050105,30519
050106,30519
050208,30519
050605,30519
050606,30519
050609,30519
050610,30519
001605,30519
001607,30519
001608,30519
890101,30520
890400,30520
960200,30520
960300,30520
960400,30520
970100,30521
970200,30521
890200,30521
890300,30521
050300,30522
050400,30522
050500,30522
080100,30522
080200,30522
000100,30523
000201,30523
000202,30523
000300,30523
000500,30523
970301,30523
970100,30525
970201,30525
970202,30525
970301,30525
970302,30525
000201,30527
000203,30527
000204,30527
960102,30528
950201,30528
950202,30528
950203,30528
950300,30528
970200,30529
970300,30529
970400,30529
010200,30529
010300,30529
010400,30529
010500,30529
010701,30529
010702,30529
970200,30530
970400,30530
890200,30530
890300,30530
010300,30530
010400,30530
010500,30530
020100,30530
000400,30531
000500,30531
000601,30531
000602,30531
000101,30531
970100,30533
000303,30533
000305,30533
960101,30533
960102,30533
960201,30533
960202,30533
950201,30533
090100,30534
970100,30534
970201,30534
970202,30534
130101,30534
130103,30534
130204,30534
960201,30534
050600,30534
000201,30535
000300,30535
000500,30535
000602,30535
970100,30536
080100,30536
080300,30536
080500,30536
970100,30537
970202,30537
890200,30538
970200,30538
970302,30538
970400,30538
080200,30540
080300,30540
080400,30540
050200,30541
050300,30541
001301,30542
001302,30542
001402,30542
001404,30542
001501,30542
001502,30542
001603,30542
001604,30542
001605,30542
001606,30542
001607,30542
001608,30542
970300,30543
000101,30543
000102,30543
000701,30543
000702,30543
010101,30543
010200,30543
950100,30545
950203,30545
960100,30546
960200,30546
960300,30546
