TRACT,ZIP
13121010123,30328
13121010204,30328
13121010205,30328
13121010206,30327
13121010208,30350
13121010209,30350
13121010210,30328
13121010211,30342
13121010212,30342
13121010301,30213
13121010303,30331
13121010304,30349
13121010400,30268
13121010507,30349
13121010508,30349
13121010510,30213
13121010511,30349
13121010512,30291
13121010513,30291
13121010514,30213
13121010515,30213
13121010516,30349
13121010601,30337
13121010603,30337
13121010604,30349
13121010800,30354
13121011000,30344
13121011100,30344
13121011201,30344
13121011202,30344
13121011301,30344
13121011303,30344
13121011305,30344
13121011306,30349
13121011405,30075
13121011410,30076
13121011411,30076
13121011412,30076
13121011414,30022
13121011416,30076
13121011417,30076
13121011418,30075
13121011419,30075
13121011420,30076
13121011421,30076
13121011422,30075
13121011423,30075
13121011424,30022
13121011425,30022
13121011426,30022
13121011427,30022
13121011503,30004
13121011504,30004
13121011505,30075
13121011506,30075
13121011610,30009
13121011611,30009
13121011612,30097
13121011613,30022
13121011614,30004
13121011615,30004
13121011616,30009
13121011617,30022
13121011618,30022
13121011619,30005
13121011620,30005
13121011621,30005
13121011622,30097
13121011623,30097
13121011624,30005
13121011625,30022
13121011626,30005
13121011800,30318
13121011900,30301
13121012000,30302
13121012300,30337
13121980000,30337
13123080100,30536
13123080200,30540
13123080300,30540
13123080400,30540
13123080500,30536
13125010100,30810
13127000101,31522
13127000102,31522
13127000200,31522
13127000300,31522
13127000401,31525
13127000403,31525
13127000404,31525
13127000501,31520
13127000503,31525
13127000504,31525
13127000600,31520
13127000700,31520
13127000800,31520
13127000900,31520
13127001000,31523
13129970100,30734
13129970200,30701
13129970300,30701
13129970400,30701
13129970500,30701
13129970600,30701
13129970700,30733
13129970800,30701
13129970900,30701
13131950100,31779
13131950200,39897
13131950300,39828
13131950400,39828
13131950500,39828
13131950600,39828
13133950100,30669
13133950200,30669
13133950301,30642
13133950302,30642
13133950303,30642
13133950400,30642
13133950500,30678
13135050103,30518
13135050105,30518
13135050106,30518
13135050107,30518
13135050108,30518
13135050109,30518
13135050205,30096
13135050208,30043
13135050209,30096
13135050210,30024
13135050211,30096
13135050212,30024
13135050213,30024
13135050214,30097
13135050215,30096
13135050216,30097
13135050217,30097
13135050218,30096
13135050219,30096
13135050220,30096
13135050304,30340
13135050306,30340
13135050308,30092
13135050309,30092
13135050310,30092
13135050311,30071
13135050313,30071
13135050314,30096
13135050315,30092
13135050317,30092
13135050318,30092
13135050319,30071
13135050320,30071
13135050321,30092
13135050322,30092
13135050410,30047
13135050415,30087
13135050416,30087
13135050417,30093
13135050418,30093
13135050419,30093
13135050421,30093
13135050422,30093
13135050423,30093
13135050424,30093
13135050425,30047
13135050426,30047
13135050427,30047
13135050428,30047
13135050429,30047
13135050430,30087
13135050431,30093
13135050432,30084
13135050433,30084
13135050434,30093
13135050435,30048
13135050436,30044
13135050511,30043
13135050520,30046
13135050521,30046
13135050522,30046
13135050523,30043
13135050524,30044
13135050525,30024
13135050526,30096
13135050527,30043
13135050528,30043
13135050529,30024
13135050530,30043
13135050531,30044
13135050532,30044
13135050533,30044
13135050534,30044
13135050535,30044
13135050536,30046
13135050537,30096
13135050538,30043
13135050539,30044
13135050540,30043
13135050541,30044
13135050542,30096
13135050543,30045
13135050544,30044
13135050545,30045
13135050546,30045
13135050547,30043
13135050548,30043
13135050549,30043
13135050605,30519
13135050606,30519
13135050607,30019
13135050608,30019
13135050609,30519
13135050610,30019
13135050709,30039
13135050712,30044
13135050713,30044
13135050714,30047
13135050715,30078
13135050718,30078
13135050719,30078
13135050720,30078
13135050721,30078
13135050722,30039
13135050723,30039
