ZIPCODE,RACE: Total: Total population -- (Estimate),POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE: Total: Population for whom poverty status is determined -- (Estimate),RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Total: Households -- (Estimate),PRIVATE HEALTH INSURANCE BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY AGE: Total: Civilian noninstitutionalized population for whom poverty status is determined -- (Estimate),RACE: Non White alone: Total population -- (Estimate),RACE: Total: Total population -- (Estimate)_PERCENTILE,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE: Total: Population for whom poverty status is determined -- (Estimate)_PERCENTILE,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Total: Households -- (Estimate)_PERCENTILE,PRIVATE HEALTH INSURANCE BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY AGE: Total: Civilian noninstitutionalized population for whom poverty status is determined -- (Estimate)_PERCENTILE,RACE: Non White alone: Total population -- (Estimate)_PERCENTILE
30206,235605.0,228176.0,84615.0,227174.0,66545.0,84.19618528610354,85.28610354223433,83.7874659400545,85.14986376021798,79.29155313351498
30213,167248.0,165842.0,61265.0,164922.0,89042.0,72.75204359673025,73.84196185286103,72.6158038147139,73.70572207084469,89.3732970027248
30214,60434.0,59890.0,21584.0,59781.0,23382.0,29.291553133514988,30.517711171662125,29.019073569482288,30.653950953678475,36.23978201634878
30215,57388.0,56802.0,19947.0,56693.0,19641.0,27.6566757493188,28.337874659400544,26.021798365122617,28.337874659400544,29.83651226158038
30216,15819.0,15302.0,5754.0,15302.0,4186.0,6.67574931880109,6.67574931880109,6.67574931880109,6.67574931880109,8.174386920980927
30217,285353.0,275675.0,103399.0,274497.0,84224.0,90.19073569482289,90.73569482288828,90.46321525885558,90.73569482288828,88.0108991825613
30218,38666.0,37426.0,13476.0,37407.0,13754.0,15.803814713896458,16.348773841961854,14.986376021798366,16.348773841961854,22.47956403269755
30220,23700.0,23582.0,8807.0,23571.0,5241.0,10.490463215258856,11.1716621253406,11.035422343324251,11.444141689373296,9.809264305177111
30222,81036.0,78784.0,29053.0,78655.0,26084.0,41.82561307901907,41.689373297002724,41.14441416893733,41.689373297002724,42.37057220708447
30223,64006.0,62777.0,22914.0,62777.0,23697.0,31.19891008174387,32.69754768392371,32.28882833787466,32.833787465940055,36.78474114441417
30224,196600.0,190055.0,70416.0,189545.0,48559.0,78.47411444141689,78.47411444141689,78.33787465940054,78.47411444141689,66.89373297002724
30228,71436.0,70149.0,23600.0,70025.0,39728.0,36.51226158038147,37.19346049046322,33.2425068119891,36.920980926430516,56.26702997275204
30230,229817.0,220291.0,81712.0,219754.0,55635.0,83.5149863760218,83.37874659400545,82.15258855585832,83.37874659400545,74.11444141689373
30233,160352.0,153673.0,55398.0,153159.0,39086.0,70.84468664850137,70.98092643051771,69.07356948228883,71.11716621253406,55.44959128065395
30234,21301.0,19036.0,6725.0,19029.0,6529.0,9.400544959128066,8.991825613079019,8.310626702997276,8.991825613079019,11.989100817438691
30236,101455.0,98457.0,33707.0,98289.0,76526.0,52.86103542234333,52.86103542234333,48.77384196185286,52.997275204359674,84.74114441416894
30238,62470.0,60559.0,19631.0,60533.0,49238.0,30.108991825613078,31.06267029972752,24.931880108991827,31.06267029972752,68.25613079019074
30240,290167.0,281913.0,107103.0,281708.0,93769.0,91.41689373297002,91.82561307901908,92.09809264305177,91.96185286103542,90.87193460490464
30241,222171.0,213615.0,80517.0,213447.0,73221.0,82.01634877384195,82.42506811989101,81.88010899182561,82.42506811989101,82.42506811989101
30248,62431.0,59923.0,20283.0,59851.0,18152.0,29.97275204359673,30.653950953678475,27.247956403269754,30.79019073569482,26.430517711171664
30250,3631.0,2750.0,835.0,2750.0,2039.0,0.5449591280653951,0.8174386920980926,0.6811989100817438,0.8174386920980926,3.9509536784741144
30251,13813.0,13764.0,5114.0,13760.0,3716.0,5.313351498637602,5.5858310626703,6.130790190735695,5.5858310626703,7.220708446866485
30252,98361.0,97230.0,31750.0,97088.0,34713.0,51.22615803814714,51.90735694822888,45.095367847411445,52.17983651226158,51.771117166212534
30253,91265.0,89858.0,30736.0,89647.0,47638.0,48.50136239782017,49.59128065395095,43.46049046321526,49.59128065395095,66.34877384196186
30256,104454.0,103173.0,37986.0,102387.0,30910.0,53.678474114441414,55.177111716621255,55.177111716621255,55.177111716621255,48.77384196185286
30257,159206.0,153581.0,56464.0,153071.0,38095.0,70.57220708446866,70.84468664850137,69.89100817438693,70.98092643051771,54.63215258855586
30258,211102.0,202097.0,74676.0,200017.0,67772.0,80.38147138964578,80.65395095367847,79.83651226158038,79.97275204359673,79.83651226158038
30259,4534.0,4514.0,1680.0,4507.0,455.0,0.8174386920980926,1.3623978201634876,1.3623978201634876,1.3623978201634876,0.5449591280653951
30260,59207.0,57489.0,20068.0,57385.0,45799.0,28.74659400544959,28.61035422343324,26.70299727520436,28.61035422343324,64.44141689373296
30263,185549.0,181127.0,66674.0,180594.0,47508.0,76.29427792915531,76.566757493188,75.61307901907357,76.566757493188,66.2125340599455
30265,71518.0,70936.0,25779.0,70860.0,16195.0,36.78474114441417,37.73841961852861,36.23978201634878,37.73841961852861,24.52316076294278
30268,126802.0,125528.0,45767.0,125185.0,53625.0,62.12534059945504,62.94277929155314,62.53405994550409,63.48773841961853,72.6158038147139
30269,41288.0,41142.0,14770.0,41036.0,7069.0,17.029972752043598,17.983651226158038,17.029972752043598,18.11989100817439,13.35149863760218
30273,43453.0,43336.0,14508.0,43266.0,32687.0,18.256130790190735,19.754768392370572,16.757493188010898,19.754768392370572,50.2724795640327
30274,76024.0,75497.0,26347.0,75427.0,65574.0,38.555858310626704,40.19073569482289,37.46594005449591,40.19073569482289,78.7465940054496
