ZIPCODE,RACE: Non-White alone: Total population -- (Estimate)_DENSITY,LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Population 5 years and over -- (Estimate)_DENSITY,"LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Speak English less than ""very well"": Population 5 years and over -- (Estimate)_DENSITY",POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE: Income in the past 12 months below poverty level: Population for whom poverty status is determined -- (Estimate)_DENSITY,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Household received Food Stamps/SNAP in the past 12 months: Households -- (Estimate)_DENSITY,OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Service occupations: Healthcare support occupations: Civilian employed population 16 years and over with earnings -- (Estimate)_DENSITY,ALLOCATION OF MORTGAGE STATUS: Allocated: Owner-occupied housing units -- (Estimate)_DENSITY,RACE: Non-White alone: Total population -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Population 5 years and over -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,"LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Speak English less than ""very well"": Population 5 years and over -- (Estimate)_POP_DENS_PERCENTILE_DENSITY",POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE: Income in the past 12 months below poverty level: Population for whom poverty status is determined -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Household received Food Stamps/SNAP in the past 12 months: Households -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Service occupations: Healthcare support occupations: Civilian employed population 16 years and over with earnings -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,ALLOCATION OF MORTGAGE STATUS: Allocated: Owner-occupied housing units -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,ad_score,ad_score_scaled
30529,0.19431714023831348,0.0565129811996419,0.02607430617726052,0.20297544735746983,0.1987740805604203,0.259032268442557,0.021828103683492497,28.19614711033275,64.62346760070052,67.77583187390543,54.81611208406305,61.120840630472856,40.80560420315236,36.077057793345006,353.415061295972,0.48033526756931005
30530,0.08016133098058986,0.04737412019491066,0.03086085544125609,0.1809668438370033,0.1763740771123872,0.0,0.011376564277588168,10.683012259194395,57.79334500875657,73.55516637478108,43.6077057793345,50.43782837127846,24.16812609457093,12.959719789842381,273.20490367775835,0.3326885880077369
30531,0.21762145629925891,0.33729338842975204,0.16851756198347106,0.3079641847313855,0.25546399140093157,0.9088516661332195,0.006138735420503376,32.57443082311734,97.8984238178634,97.54816112084063,85.63922942206655,82.31173380035027,93.6952714535902,7.005253940455342,496.67250437828375,0.7440361057382332
30533,0.054254840162089146,0.04271687417754833,0.01454263252016061,0.2163854934841903,0.164015992892048,0.6671310255333766,0.034454130344541305,6.654991243432574,53.765323992994745,52.364273204903675,60.42031523642732,45.00875656742557,80.03502626970227,64.97373029772329,363.2224168126095,0.49838813668600895
30534,0.047778891843585164,0.03202503105875857,0.014310035429991258,0.13424961205941033,0.10643041539544708,0.1151481653867039,0.038018782187215994,4.903677758318739,45.00875656742557,52.1891418563923,25.74430823117338,23.467600700525395,29.422066549912433,70.05253940455341,250.78809106830124,0.291424887169568
30535,0.12612112806287565,0.07177603494490221,0.03663258215030279,0.19039751190591894,0.19306265125033611,0.46241346069581984,0.027150916784203102,16.46234676007005,72.67950963222417,78.28371278458845,48.68651488616462,59.01926444833625,63.922942206654994,50.43782837127846,389.49211908931693,0.5467440361057381
30536,0.023735165521549032,0.022700433014040153,0.0076105497966146175,0.16249367728882144,0.1117861482381531,0.0,0.02706766917293233,0.8756567425569177,30.64798598949212,32.57443082311734,35.551663747810856,25.919439579684763,24.16812609457093,50.08756567425569,199.82486865148863,0.19761444229529335
30537,0.09179616913624865,0.08850399695470118,0.03387894937190712,0.23777777777777778,0.1431235431235431,0.6704274067363913,0.030736240171551108,12.084063047285465,80.9106830122592,76.70753064798599,67.42556917688266,36.77758318739054,80.21015761821366,58.14360770577933,412.25919439579684,0.5886524822695034
30540,0.12323994081428094,0.10168891585760517,0.05850525889967637,0.20668795973674023,0.17030233448143897,0.7558708544985505,0.025587101296880476,15.936952714535902,85.28896672504378,87.91593695271453,56.74255691768827,47.8108581436077,84.76357267950964,45.53415061295972,423.99299474605954,0.6102514506769825
30542,0.14667530883025773,0.14076353184081616,0.0722237966074248,0.11748246387366323,0.09693293659876402,0.46318810924489157,0.014522120905099628,22.241681260945708,91.24343257443083,91.41856392294221,19.26444833625219,21.891418563922944,64.27320490367777,18.38879159369527,328.72154115586693,0.43488072211476464
30543,0.051682692307692304,0.14236329352608423,0.026084223758642364,0.09427710843373494,0.12021857923497267,0.5295299837925446,0.03424657534246575,5.779334500875657,91.41856392294221,67.95096322241682,13.8353765323993,28.721541155866902,70.05253940455341,64.79859894921191,342.5569176882662,0.46034816247582194
30546,0.027223511214230472,0.013888888888888888,0.0070242656449553,0.1336797354747284,0.10187932739861523,0.9702546594018193,0.04514030093533957,1.5761821366024518,18.038528896672503,30.823117338003502,25.569176882661996,22.591943957968475,95.6217162872154,77.93345008756567,272.15411558669,0.33075435203094766
30547,0.09897895394873932,0.011106271777003485,0.001524390243902439,0.14252969368618462,0.15402431962941518,0.8026791900839172,0.032975460122699383,12.784588441330998,14.535901926444833,12.959719789842381,28.371278458844134,40.4553415061296,87.91593695271453,61.996497373029776,259.0192644483363,0.3065764023210832
30548,0.09281526809020497,0.05016525558020555,0.02367908724589125,0.06932736968862893,0.06724267468069121,0.0,0.022700983227299017,12.259194395796847,60.770577933450085,64.79859894921191,7.005253940455342,12.084063047285465,24.16812609457093,39.05429071803853,220.14010507880909,0.23500967117988386
30549,0.1272666915639653,0.05710514738231412,0.026396832380114386,0.1167491403170343,0.11688942891859053,0.7905959265778225,0.018672890963654553,16.987740805604204,65.32399299474606,69.1768826619965,18.914185639229423,27.495621716287214,86.69001751313485,27.145359019264447,311.73380035026275,0.4036105738233398
30552,0.052652106084243366,0.07141403865717193,0.029094608341810782,0.22859434529777423,0.11496531219028741,0.6919348652324,0.03695014662756598,6.304728546409807,72.3292469352014,71.2784588441331,65.14886164623468,26.79509632224168,81.9614711033275,69.00175131348512,392.81961471103324,0.5528691166989037
30553,0.14476831753344555,0.04899568237281772,0.018209123333959076,0.19795373665480426,0.18043728423475258,0.6130123765186783,0.0,21.19089316987741,59.36952714535902,59.01926444833625,52.01401050788091,52.1891418563923,76.70753064798599,3.502626970227671,323.99299474605954,0.42617666021921324
30554,0.12539184952978055,0.06230529595015576,0.02870493991989319,0.18181818181818182,0.17204301075268819,0.7979317608758099,0.028455284552845527,16.28721541155867,67.77583187390543,70.75306479859896,44.30823117338004,48.51138353765324,87.215411558669,53.06479859894921,387.91593695271456,0.5438426821405544
30555,0.02493765586034913,0.0,0.0,0.1726890756302521,0.0940940940940941,0.0,0.0,1.2259194395796849,2.1015761821366024,8.93169877408056,40.63047285464098,21.015761821366024,24.16812609457093,3.502626970227671,101.57618213660244,0.0167633784655061
30558,0.0834150059893281,0.03623783276650639,0.015832062859153277,0.14219729462223687,0.1440149625935162,0.4045765590060023,0.022067838169186758,11.208406304728546,48.51138353765324,54.46584938704028,28.19614711033275,38.003502626970224,57.79334500875657,37.3029772329247,275.4816112084063,0.3368794326241134
30559,0.04701718907987867,0.007507118819570282,0.0051773233238415735,0.16708796764408493,0.0886904761904762,0.73689109525287,0.013858497447118891,4.553415061295972,9.632224168126095,24.69352014010508,38.003502626970224,19.089316987740805,84.0630472854641,16.637478108581437,196.6725043782837,0.19181173436492577
30560,0.019795221843003412,0.012028301886792454,0.003066037735849057,0.1590443686006826,0.07350521119034559,0.0,0.00870105655686762,0.5253940455341506,15.411558669001751,18.739054290718038,34.67600700525394,14.185639229422067,24.16812609457093,9.632224168126095,117.33800350262698,0.045776918117343635
30563,0.15545901020022668,0.15448471350475804,0.06114598096780725,0.11874761359297442,0.09373235460191982,1.0895314342900033,0.0063875088715401,23.29246935201401,92.11908931698774,88.61646234676007,19.964973730297725,20.490367775831874,97.19789842381786,7.355516637478108,349.03677758318736,0.4722759509993551
30565,0.05874208860759494,0.09323813523729525,0.04787904241915162,0.20945411392405064,0.14488636363636365,0.6011803164868227,0.05979381443298969,8.056042031523642,83.0122591943958,85.46409807355516,58.4938704028021,38.52889667250438,75.4816112084063,87.74080560420315,436.7775831873906,0.6337846550612507
30566,0.15614546239343907,0.2511810116372854,0.11222491070399816,0.15266927083333334,0.0889163322012967,0.42879522943197895,0.017738359201773836,23.467600700525395,95.6217162872154,94.92119089316988,31.873905429071804,19.26444833625219,60.595446584938706,24.518388791593694,350.26269702276704,0.4745325596389424
30571,0.04885162231133795,0.002969561989606533,0.0011135857461024498,0.13638025594149908,0.11678267594740913,0.0,0.0,5.253940455341506,4.728546409807356,11.558669001751314,26.444833625218916,27.320490367775832,24.16812609457093,3.502626970227671,102.97723292469352,0.01934235976789167
30577,0.15767667292057536,0.027675809445246443,0.010435141266240462,0.2004414125200642,0.18990096854935248,0.24699141267537494,0.023004265691651433,23.817863397548162,37.478108581436075,42.90718038528897,53.239929947460595,56.74255691768827,39.92994746059545,39.57968476357268,293.6952714535902,0.37040618955512566
30582,0.045444469075593,0.00784313725490196,0.0002306805074971165,0.17925026399155228,0.1596958174904943,1.5824839317016166,0.012448132780082987,4.028021015761821,10.332749562171628,9.281961471103328,42.90718038528897,42.556917688266196,98.9492119089317,14.711033274956216,222.76707530647985,0.23984526112185678
