ZIPCODE,B02001e1,B02001e2,C16001e1,C16001e3,C16001e5,B17001e1,B17001e2,B22003e1,B22003e2,B24011e1,B24011e19,B992521e1,B992521e2
30204,341618.0,247082.0,322337.0,17506.0,8356.0,329250.0,70289.0,123340.0,23686.0,2062611.0,1137567.0,84469.0,3818.0
30205,13665.0,12795.0,13356.0,175.0,26.0,13665.0,955.0,4791.0,188.0,117227.0,50593.0,4353.0,261.0
30206,235605.0,169060.0,220579.0,11847.0,5633.0,228176.0,46705.0,84615.0,16567.0,1517224.0,643886.0,56343.0,1824.0
30213,167248.0,78206.0,155270.0,8474.0,3988.0,165842.0,31139.0,61265.0,11769.0,792730.0,318205.0,36906.0,1161.0
30214,60434.0,37052.0,57748.0,3814.0,1226.0,59890.0,5125.0,21584.0,1444.0,478827.0,143848.0,17575.0,411.0
30215,57388.0,37747.0,54922.0,2050.0,570.0,56802.0,3730.0,19947.0,1162.0,469215.0,211481.0,16464.0,542.0
30216,15819.0,11633.0,14820.0,281.0,89.0,15302.0,3146.0,5754.0,1309.0,60835.0,46765.0,4088.0,33.0
30217,285353.0,201129.0,269216.0,15560.0,7480.0,275675.0,61830.0,103399.0,20251.0,1621574.0,964304.0,68929.0,3204.0
30218,38666.0,24912.0,36189.0,1582.0,788.0,37426.0,7694.0,13476.0,2599.0,220022.0,94335.0,9848.0,299.0
30220,23700.0,18459.0,22463.0,778.0,287.0,23582.0,3674.0,8807.0,1213.0,157458.0,66781.0,6699.0,260.0
30222,81036.0,54952.0,75443.0,5857.0,3388.0,78784.0,17535.0,29053.0,5567.0,495583.0,198799.0,19634.0,954.0
30223,64006.0,40309.0,59708.0,2017.0,879.0,62777.0,14798.0,22914.0,4978.0,331313.0,110998.0,13986.0,349.0
30224,196600.0,148041.0,185644.0,10228.0,4950.0,190055.0,39052.0,70416.0,12533.0,1210641.0,691730.0,50956.0,1825.0
30228,71436.0,31708.0,67249.0,4185.0,1616.0,70149.0,9618.0,23600.0,3497.0,269699.0,121839.0,17902.0,416.0
30230,229817.0,174182.0,215967.0,11751.0,5145.0,220291.0,47163.0,81712.0,14856.0,1463533.0,734754.0,59704.0,2553.0
30233,160352.0,121266.0,150428.0,8281.0,3737.0,153673.0,31099.0,55398.0,9686.0,806784.0,523962.0,40641.0,1266.0
30234,21301.0,14772.0,20166.0,781.0,187.0,19036.0,3115.0,6725.0,778.0,92854.0,20630.0,4829.0,158.0
30236,101455.0,24929.0,93909.0,11319.0,5087.0,98457.0,23579.0,33707.0,8176.0,511296.0,294250.0,17061.0,376.0
30238,62470.0,13232.0,58120.0,4861.0,1484.0,60559.0,15625.0,19631.0,4892.0,320106.0,167099.0,11951.0,359.0
30240,290167.0,196398.0,272319.0,13474.0,5375.0,281913.0,64068.0,107103.0,21446.0,1779332.0,661468.0,67717.0,2759.0
30241,222171.0,148950.0,208229.0,10869.0,3941.0,213615.0,51380.0,80517.0,16955.0,1455628.0,550443.0,51238.0,2495.0
30248,62431.0,44279.0,58639.0,2041.0,566.0,59923.0,8025.0,20283.0,2312.0,233248.0,82201.0,16064.0,401.0
30250,3631.0,1592.0,3377.0,678.0,451.0,2750.0,508.0,835.0,186.0,30250.0,30069.0,579.0,15.0
30251,13813.0,10097.0,13042.0,605.0,215.0,13764.0,2702.0,5114.0,879.0,85496.0,9697.0,3829.0,104.0
30252,98361.0,63648.0,92667.0,3297.0,782.0,97230.0,9768.0,31750.0,3139.0,437306.0,146781.0,25065.0,733.0
30253,91265.0,43627.0,85762.0,4475.0,918.0,89858.0,10993.0,30736.0,3693.0,379137.0,154328.0,20854.0,601.0
30256,104454.0,73544.0,97030.0,6001.0,2874.0,103173.0,21351.0,37986.0,7450.0,542212.0,238453.0,23059.0,643.0
30257,159206.0,121111.0,150180.0,9412.0,4628.0,153581.0,32350.0,56464.0,10249.0,991057.0,648622.0,41414.0,1599.0
30258,211102.0,143330.0,196436.0,12487.0,5850.0,202097.0,40799.0,74676.0,14884.0,1192690.0,345019.0,46219.0,1413.0
30259,4534.0,4079.0,4342.0,24.0,2.0,4514.0,431.0,1680.0,188.0,40840.0,30469.0,1388.0,67.0
30260,59207.0,13408.0,54154.0,7365.0,3765.0,57489.0,13836.0,20068.0,4422.0,250718.0,112656.0,9025.0,180.0
30263,185549.0,138041.0,174127.0,10851.0,5338.0,181127.0,34599.0,66674.0,10141.0,1013322.0,632085.0,47352.0,1747.0
30265,71518.0,55323.0,67033.0,4797.0,2339.0,70936.0,6539.0,25779.0,1920.0,438728.0,167210.0,18437.0,538.0
30268,126802.0,73177.0,117881.0,7479.0,3816.0,125528.0,23938.0,45767.0,8712.0,629879.0,211959.0,28255.0,1057.0
30269,41288.0,34219.0,39487.0,2458.0,922.0,41142.0,2706.0,14770.0,600.0,390569.0,88634.0,11164.0,387.0
30273,43453.0,10766.0,40272.0,3030.0,1300.0,43336.0,6429.0,14508.0,2367.0,206878.0,49388.0,9947.0,148.0
30274,76024.0,10450.0,69732.0,7871.0,3623.0,75497.0,21371.0,26347.0,7839.0,367496.0,213557.0,10589.0,293.0
30275,7428.0,6356.0,7057.0,176.0,76.0,7366.0,1500.0,2654.0,295.0,34225.0,31597.0,2247.0,43.0
30276,41587.0,34765.0,39250.0,1430.0,361.0,41517.0,4520.0,14646.0,1468.0,323723.0,66350.0,12020.0,290.0
30277,43460.0,37684.0,41373.0,3051.0,1419.0,43344.0,2910.0,15397.0,981.0,309127.0,99130.0,13243.0,391.0
30281,114219.0,46353.0,107051.0,6853.0,2218.0,113732.0,16212.0,38458.0,5075.0,609104.0,208254.0,27129.0,605.0
30284,5705.0,5077.0,5198.0,99.0,48.0,5705.0,1187.0,2104.0,423.0,28110.0,24602.0,1486.0,43.0
30285,201015.0,135640.0,188786.0,10828.0,5197.0,194391.0,43644.0,72437.0,15172.0,1200284.0,594027.0,46067.0,1827.0
30286,328652.0,229367.0,306970.0,17569.0,8393.0,314053.0,66249.0,116552.0,23206.0,2047175.0,807372.0,75836.0,2731.0
